engine_id,cycle,temp_degradation,pressure_degradation,pressure_ratio,fan_speed,RUL,health_status
8,1,643.18,1409.75,552.31,47.3,149,Normal
8,2,642.92,1410.81,552.74,47.62,148,Normal
8,3,642.74,1403.29,552.79,47.51,147,Normal
8,4,642.76,1406.11,552.13,47.68,146,Normal
8,5,643.13,1409.34,553.61,47.53,145,Normal
8,6,642.55,1418.06,552.32,47.55,144,Normal
8,7,642.86,1404.52,553.54,47.28,143,Normal
8,8,642.75,1407.11,552.97,47.38,142,Normal
8,9,643.01,1413.87,552.61,47.53,141,Normal
8,10,642.57,1406.7,553.56,47.59,140,Normal
8,11,642.3,1419.87,554.04,47.69,139,Normal
8,12,643.02,1406.39,553.47,47.65,138,Normal
8,13,642.46,1407.31,553.57,47.35,137,Normal
8,14,642.44,1413.77,553.13,47.53,136,Normal
8,15,642.61,1411.97,553.06,47.62,135,Normal
8,16,641.82,1410.4,553.15,47.57,134,Normal
8,17,642.61,1403.1,553.48,47.62,133,Normal
8,18,642.2,1409.63,552.95,47.71,132,Normal
8,19,642.32,1406.79,553.75,47.61,131,Normal
8,20,643.33,1405.38,553.09,47.41,130,Normal
8,21,642.74,1400.16,553.73,47.51,129,Normal
8,22,642.68,1412.59,553.2,47.6,128,Normal
8,23,643.08,1415.98,553.14,47.54,127,Normal
8,24,642.92,1406.58,552.85,47.53,126,Normal
8,25,642.85,1410.56,553.29,47.73,125,Normal
8,26,642.23,1405.69,553.07,47.38,124,Normal
8,27,642.83,1413.37,553.4,47.57,123,Normal
8,28,642.14,1411.85,553.68,47.43,122,Normal
8,29,642.89,1407.7,553.01,47.57,121,Normal
8,30,643.08,1400.07,552.45,47.59,120,Normal
8,31,642.63,1410.45,553.64,47.59,119,Normal
8,32,642.87,1413.85,552.92,47.42,118,Normal
8,33,642.11,1416.52,552.9,47.59,117,Normal
8,34,642.38,1406.27,552.76,47.67,116,Normal
8,35,642.79,1411.73,553.56,47.64,115,Normal
8,36,643.05,1414.51,553.27,47.5,114,Normal
8,37,642.86,1409.9,553.36,47.65,113,Normal
8,38,642.91,1403.91,552.94,47.29,112,Normal
